
east:821070.0, north:807840.0, Cheung Chau, 長洲
east:834833.0, north:818383.0, The Waterfront Tower II, 漾日居第二座
east:834870.0, north:818367.0, The Waterfront Tower III, 漾日居第三座
east:834864.0, north:818431.0, The Waterfront Tower V, 漾日居第五座
east:834876.0, north:818481.0, The Waterfront Tower VI, 漾日居第六座
east:834841.0, north:818495.0, The Waterfront Tower VII, 漾日居第七座
east:833265.0, north:812275.0, Waterfront South Block 1, 港麗豪園第一座
east:833286.0, north:812257.0, Waterfront South Block 2, 港麗豪園第二座
east:846316.0, north:827022.0, SAI KUNG WATERFRONT PARK, 西貢海濱公園
east:836423.0, north:834832.0, TAI PO WATERFRONT PARK, 大埔海濱公園
east:811866.60839, north:817130.964810001, TUNG CHUNG WATERFRONT ROAD, 東涌海濱路
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:837993.0, north:820029.0, GRAND WATERFRONT, 翔龍灣
east:834848.0, north:818434.0, The Waterfront, 漾日居
east:833272.0, north:812265.0, WATERFRONT SOUTH, 港麗豪園
east:834124.0, north:811825.0, AP LEI CHAU WATERFRONT PROMENADE, 鴨脷洲海濱長廊
east:815670.0, north:826157.0, Castle Peak Bay Waterfront Promenade, 青山灣海濱長廊
east:841226.0, north:818215.0, CHA KWO LING PUBLIC WATERFRONT, 茶果嶺海濱區
east:846460.0, north:827390.0, NEW FUNLAND @ SAI KUNG WATERFRONT, 西貢海濱樂園
east:844912.0, north:818061.0, Tseung Kwan O Waterfront Park, 將軍澳海濱公園
east:836485.0, north:834626.0, Tai Po Waterfront Park Refreshment Kiosk, 大埔海濱公園小食亭
east:837360.0, north:834807.0, Tai Po Waterfront Park Toilet No.5, 大埔海濱公園五號廁所
east:837371.0, north:834804.0, Tai Po Waterfront Park Toilet No.5, 大埔海濱公園五號廁所
east:837358.0, north:834781.0, Tai Po Waterfront Park Viewing Terrace, 大埔海濱公園觀景臺
east:836534.0, north:834771.0, Tai Po Waterfront Park - Park Office, 大埔海濱公園-公園辦事處
east:842132.2, north:831937.7, Ma On Shan Waterfront Promenade, 馬鞍山海濱長廊
east:839912.0, north:808816.0, STANLEY WATERFRONT MART, 赤柱海濱小賣亭
east:836720.0, north:834748.0, Tai Po Waterfront Park Toilet No.3, 大埔海濱公園三號廁所
east:836394.0, north:834501.0, Tai Po Waterfront Park Toilet No.4, 大埔海濱公園四號廁所
east:837777.0, north:834677.0, Tai Po Waterfront Park - Toilet No.6, 大埔海濱公園 - 六號廁所
east:837768.0, north:834680.0, Tai Po Waterfront Park - Toilet No.6, 大埔海濱公園 - 六號廁所
east:834145.0, north:811823.0, Ap Lei Chau Waterfront Promenade Community Garden, 鴨脷洲海濱長廊社區園圃
east:836448.0, north:834816.0, Tai Po Waterfront Park Toilet No. 2, 大埔海濱公園二號廁所
east:836161.0, north:817493.0, TSIM SHA TSUI EAST WATERFRONT PODIUM GARDEN, 尖沙咀東海濱平台花園
east:835753.5, north:812441.1, ACADEMY LOUNGE, 院士軒
east:835817.8, north:817507.1, AUSTRALIA LOUNGE, AUSTRALIA LOUNGE
east:835818.0, north:817505.6, DAVID LOUNGE, DAVID LOUNGE
east:835811.9, north:817509.2, DELTA LOUNGE, DELTA LOUNGE
east:839318.5247764, north:827965.59794797, EXECUTIVE LOUNGE, EXECUTIVE LOUNGE
east:830478.93479089, north:840059.52428551, GOLFER'S LOUNGE, 綠悠廳
east:838567.8, north:813243.7, Karaoke Lounge, 卡啦OK酒廊
east:834420.91171993, north:817984.37316604, M+ LOUNGE, M+ LOUNGE
east:835819.33317214, north:817509.37078443, MANILA LOUNGE, MANILA LOUNGE
east:835821.88901634, north:817499.15927153, PREMIUM LOUNGE, PREMIUM LOUNGE
east:835819.04053103, north:817501.98386516, W'S LOUNGE, W'S LOUNGE
east:835264.26893421, north:818318.53434777, CLUB GA, CLUB GA
east:829552.0, north:837024.9, CHUNG LOUNG GARAGE, 翔龍汽車修理
east:836624.9, north:815718.7, D-ONE LOUNGE, D1酒廊
east:835816.63394149, north:817507.87787371, METROCITY LOUNGE, METROCITY LOUNGE
east:835580.6, north:819699.6, Moona Lounge & Bar, Moona Lounge & Bar
east:838581.20001436, north:817087.71905767, VICTORIA HARBOUR LOUNGE, 維港軒
east:835799.2, north:818454.0, ZING CLUB & LOUNGE, 星聲廊
east:833603.0, north:822301.0, V GA Building, 偉基大廈
east:831836.0, north:816314.0, Fu Ga Building, 富基大廈
east:837348.0, north:820997.0, Ga Lok Building, 嘉樂樓
east:837348.0, north:820990.0, Ga Lok Building, 嘉樂樓
east:834816.0, north:820924.0, Hing Ga Building, 興基大廈
east:837895.0, north:816432.0, Kin Ga Building, 建基大廈
east:834430.0, north:821073.0, Kin Ga Court, 健基閣
east:836941.0, north:818774.0, Kui Ga Court, 鉅基閣
east:831858.0, north:816344.0, Kwok Ga Building, 國基大廈
east:840886.0, north:815833.0, Lee Ga Building, 利基大廈
east:832392.0, north:816498.0, Liang Ga Building, 良基大廈
east:820529.0, north:834119.0, On Ga Building, 安基大廈
east:832080.0, north:816218.0, Po Ga Building, 保基大廈
east:821203.0, north:833873.0, Sun Ga Building, 新基大廈
east:832111.0, north:816218.0, Tuck Ga Building, 德基大廈
east:834997.0, north:834406.0, Wah Ga Mansion, 華基樓
east:832134.0, north:816187.0, Wing Ga Building, 榮基大廈
east:832843.0, north:816135.0, Yee Ga Court, 怡基閣
east:841407.0, north:815426.0, Yick Ga Building, 益基大廈
east:831530.0, north:816042.0, YING GA GARDEN, 盈基花園
east:839961.0, north:816343.0, Gee Lan Mansion, 芝蘭閣
east:837537.0, north:819579.0, GEE PAK VILLA, 芝栢別墅
east:833730.0, north:816291.0, Gee Tuck Building, 至德大廈
east:836173.0, north:815431.0, Wang Gee Building, 宏基大廈
east:836891.1, north:815736.8, VIDA MIA PIANO LOUNGE, VIDA MIA PIANO LOUNGE
east:834096.32311738, north:815272.72181156, Y Garden View Lounge, 園景軒餐廳
east:815051.0, north:828257.0, Kin Ga Industrial Building, 堅基工業大廈
east:830602.0, north:815861.0, Kwong Ga Factory Building, 廣基工廠大廈
east:835483.0, north:812377.0, Gee Chang Hong Centre, 志昌行中心
east:837671.0, north:819582.0, Gee Chang Industrial Building, 志昌工業大廈
east:834778.0, north:820434.0, Gee Fat Factory Building, 志發工廠大廈
east:835673.0, north:819367.0, Gee Foo Commercial Building, 致富商業大廈
east:833198.7, north:816409.3, THE FIGO, 翡格
east:821805.0, north:818908.0, Disney's Hollywood Hotel, 迪士尼好萊塢酒店
east:834914.0, north:832888.0, River View, 滙悅
east:837882.0, north:821313.0, BILLIONNAIRE ROYALE, 御·豪門
east:839507.0, north:835339.0, Legende Royale, 富匯半島
east:839508.0, north:835376.0, LEGENDE ROYALE, 富滙半島
east:816549.0, north:835467.0, MOUNTAIN ROYAL, 傲凱峰
east:844170.0, north:823781.0, Royal Bay, 御濤
east:835365.0, north:815147.0, Royal Court, 皇朝閣
east:836300.0, north:820851.0, Royal Garden, 皇冠閣
east:837792.0, north:812451.0, Royal Garden, 聚豪居
east:831983.0, north:839116.0, ROYAL KNOLL, 豪峰嶺
east:835807.0, north:821011.0, Royal Magnolia, 蘭芳閣
east:823861.0, north:838705.0, ROYAL PALMS, 加州豪園
east:817226.0, north:826106.0, Seacoast Royale, 帝御．金灣
east:817142.0, north:826171.0, Skypoint Royale, 帝御．嵐天
east:817162.0, north:826095.0, Starfront Royale, 帝御．星濤
east:842210.0, north:815983.0, Reception Hall & Lecture Hall, 接待大堂及演講廳
east:846677.0, north:819986.0, Royal Castle Clubhouse, 君爵堡會所
east:834361.0, north:815301.0, The Royal Court, 帝景閣
east:833908.0, north:815816.0, A Hall, 一座
east:829022.0, north:822435.0, Assembly Hall, 禮堂
east:833902.0, north:815806.0, B Hall, 二座
east:807766.0, north:809083.0, Bradbury Hall, 
east:833923.0, north:815794.0, C Hall, 三座
east:834659.0, north:815909.0, City Hall, 大會堂
east:833925.0, north:815780.0, D Hall, 四座
east:833933.0, north:815743.0, E Hall, 伍座
east:833860.0, north:815790.0, F Hall, 六座
east:838979.0, north:820528.0, Star Hall, 匯星
east:831973.0, north:813847.0, UNIVERSITY HALL, 大學堂宿舍
east:836503.0, north:833461.0, Chateau Royale Block A1, 雍怡雅苑A1座
east:836458.0, north:833422.0, Chateau Royale Block A10, 雍怡雅苑A10座
east:836451.0, north:833419.0, Chateau Royale Block A11, 雍怡雅苑A11座
east:836444.0, north:833418.0, Chateau Royale Block A12, 雍怡雅苑A12座
east:836438.0, north:833415.0, Chateau Royale Block A13, 雍怡雅苑A13座
east:836430.0, north:833414.0, Chateau Royale Block A15, 雍怡雅苑A15座
east:836424.0, north:833411.0, Chateau Royale Block A16, 雍怡雅苑A16座
east:836417.0, north:833409.0, Chateau Royale Block A17, 雍怡雅苑A17座
east:836411.0, north:833406.0, Chateau Royale Block A18, 雍怡雅苑A18座
east:836401.0, north:833404.0, Chateau Royale Block A19, 雍怡雅苑A19座
east:836501.0, north:833454.0, Chateau Royale Block A2, 雍怡雅苑A2座
east:836394.0, north:833403.0, Chateau Royale Block A20, 雍怡雅苑A20座
east:836388.0, north:833402.0, Chateau Royale Block A21, 雍怡雅苑A21座
east:836381.0, north:833402.0, Chateau Royale Block A22, 雍怡雅苑A22座
east:836373.0, north:833401.0, Chateau Royale Block A23, 雍怡雅苑A23座
east:836366.0, north:833400.0, Chateau Royale Block A25, 雍怡雅苑A25座
east:836497.0, north:833448.0, Chateau Royale Block A3, 雍怡雅苑A3座
east:836495.0, north:833441.0, Chateau Royale Block A5, 雍怡雅苑A5座
east:836485.0, north:833434.0, Chateau Royale Block A6, 雍怡雅苑A6座
east:836479.0, north:833431.0, Chateau Royale Block A7, 雍怡雅苑A7座
east:836472.0, north:833428.0, Chateau Royale Block A8, 雍怡雅苑A8座
east:836466.0, north:833425.0, Chateau Royale Block A9, 雍怡雅苑A9座
east:822586.0, north:818783.0, Hong Kong Disneyland Hotel, 香港迪士尼樂園酒店
east:822523.719, north:818867.409, Hong Kong Disneyland Hotel, 香港迪士尼樂園酒店
east:838137.0, north:813144.0, Pier Cafe, 碧雅亭
east:822450.0, north:819320.0, Main Street USA, 美國小鎮大街
east:839771.47501, north:808891.13582, STANLEY MAIN STREET, 赤柱大街
east:835703.0, north:810642.0, Clown Corner, 動感美食坊
east:833640.0, north:814220.0, Jardine's Corner, 觀龍角
east:838530.0, north:813220.0, Parkview Corner, 眺景台
east:821044.371, north:807728.5031, HING LUNG MAIN STREET, 興隆正街
east:848049.10316, north:845379.263259999, KAT O MAIN STREET, 吉澳大街
east:816494.49343, north:831039.5954, LAM TEI MAIN STREET, 藍地大街
east:823880.09142, north:823252.325750001, MA WAN MAIN STREET, 馬灣大街
east:834119.53598, north:812149.95083, OLD MAIN STREET, ABERDEEN, 香港仔舊大街
east:845919.011, north:826772.59, SAI KUNG MAIN STREET, 西貢正街
east:841492.80904, north:818135.637840001, CHA KWO LING MAIN STREET, 茶果嶺大街
east:817583.33835, north:832816.20747, HUNG SHUI KIU MAIN STREET, 洪水橋大街
east:836920.12773, north:825403.35596, KAK TIN VILLAGE MAIN STREET, 隔田村正街
east:823808.942, north:823315.214, Ma Wan Main Street Village, 馬灣大街村
east:834237.16377, north:811760.39398, MAIN STREET, AP LEI CHAU, 鴨脷洲大街
east:829506.1865, north:809801.863190001, YUNG SHUE WAN MAIN STREET, 榕樹灣大街
east:835540.5, north:819574.7, COMMA CAFE, 逗號咖啡室
east:836953.9, north:815520.2, Y.M. CAFE, Y.M. CAFE
east:835554.5, north:819579.5, 5% CAFE, 5% CAFE
east:835512.0, north:810520.0, Boardwalk Cafe, 美食舫
east:834754.0, north:815418.0, Cafe & Bar, 
east:835725.0, north:810365.0, Cafe Ocean, 海洋冰室
east:833974.7, north:816093.4, CECILIA CAFE, CECILIA CAFE
east:835553.9, north:819579.5, DOUBLE CAFE, 孖啡
east:835614.7, north:819548.2, L CAFE', L CAFE'
east:840983.0, north:829986.0, MOS Cafe, 鞍山茶座
east:836213.0, north:811821.0, Panda Cafe, 大熊貓餐廳
east:835660.1, north:817551.2, PEACE CAFE, PEACE CAFE
east:835614.9, north:819550.0, URBAN CAFE, URBAN CAFE
east:824050.0, north:823680.0, Ma Wan Main Street Village Central, 馬灣大街村中
east:824130.0, north:823610.0, Ma Wan Main Street Village East, 馬灣大街村東
east:824150.0, north:823810.0, Ma Wan Main Street Village North, 馬灣大街村北
east:824005.0, north:823615.0, Ma Wan Main Street Village South, 馬灣大街村南
east:841747.71547, north:815398.89827, SHAU KEI WAN MAIN STREET EAST, 筲箕灣東大街
east:836847.0, north:815774.0, Causeway Corner, 銅鑼閣
east:834097.0, north:815818.0, Chic Corner, 
east:824055.0, north:823634.0, Ma Wan Main Street Village Office, 馬灣大街村村公所
east:826710.76653, north:833432.98745, MAIN ROAD, 主路
east:829526.02723, north:808958.848409999, MAIN ROAD, 電廠大道
east:835524.4, north:820301.7, H & B CAFE, H & B CAFE
east:835738.0, north:819930.3, STATION 3 CAFE, 第三站
east:835653.72756869, north:819621.12283279, LIVE CAFE RHYTHM, LIVE CAFE RHYTHM
east:828212.0, north:840487.0, Dills Corner Garden Block 1, 石仔嶺花園第一座
east:828203.0, north:840591.0, Dills Corner Garden Block 10, 石仔嶺花園第十座
east:828251.0, north:840600.0, Dills Corner Garden Block 11, 石仔嶺花園第十一座
east:828199.0, north:840619.0, Dills Corner Garden Block 12, 石仔嶺花園第十二座
east:828246.0, north:840629.0, Dills Corner Garden Block 13, 石仔嶺花園第十三座
east:828195.0, north:840640.0, Dills Corner Garden Block 14, 石仔嶺花園第十四座
east:836766.0, north:821348.0, Jade Garden, 碧苑
east:836439.0, north:822397.0, Jade Garden, 翠竹園
east:833032.0, north:815997.0, JADE GARDEN, 翡翠園
east:834922.0, north:834451.0, Jade Garden, 翠河花園
east:833049.0, north:816007.0, Jade Garden Block A-B, 翡翠園A-B座
east:833028.0, north:816015.0, Jade Garden Block C-D, 翡翠園C-D座
east:833012.0, north:815997.0, Jade Garden Block E-F, 翡翠園E-F座
east:842491.0, north:813951.0, New Jade Garden Block 1, 新翠花園第1座
east:842493.0, north:813918.0, New Jade Garden Block 2, 新翠花園第2座
east:842482.0, north:813889.0, New Jade Garden Block 3, 新翠花園第3座
east:842457.0, north:813872.0, New Jade Garden Block 4, 新翠花園第4座
east:842394.0, north:813876.0, New Jade Garden Block 5, 新翠花園第5座
east:842412.0, north:813896.0, New Jade Garden Block 6, 新翠花園第6座
east:829932.2, north:825793.3, JADE GARDEN MOTEL, 翠園賓館
east:842465.0, north:813909.0, New Jade Garden, 新翠花園
east:834922.0, north:834459.0, 7-Eleven Store-Jade Garden, 7-11便利店-翠河花園
east:842398.0, north:813902.0, Eastern District Office - Chai Wan Sub-office, 東區民政事務處 - 柴灣分處
east:842462.10425357, north:813892.86238576, The Church of Christ in China, Chai Wan Church Day Nursery, 中華基督教會柴灣堂幼兒園
east:834920.55213284, north:834453.47456053, RAY OF SUN ELDERLY HOME LIMITED, 驕陽護老院有限公司
east:842413.62725766, north:813904.1705649, Richmond Welbiz Ltd., 利民卓業有限公司
east:842413.62725767, north:813903.27481849, Richmond Welbiz Ltd. (Coloré), 利民卓業有限公司 (可來兒)
east:842398.0, north:813901.5, Eastern District Office - Chai Wan Sub-office, 東區民政事務處 - 柴灣分處
east:842394.0, north:813876.0, Chai Wan Maternal & Child Health Centre, 柴灣母嬰健康院
east:842397.0, north:813877.6, Social Welfare Department Chai Wan (West) Integrated Family Service Centre, 社會福利署西柴灣綜合家庭服務中心
east:842461.0, north:813905.0, THE CHURCH OF CHRIST IN CHINA CHAI WAN CHURCH DAY NURSERY, 中華基督教會柴灣堂幼兒園
east:842468.9, north:813904.7, THE CHURCH OF CHRIST IN CHINA CHAI WAN CHURCH DAY NURSERY, 中華基督教會柴灣堂幼兒園
east:842463.5, north:813906.5, THE CHURCH OF CHRIST IN CHINA CHAI WAN CHURCH DAY NURSERY, 中華基督教會柴灣堂幼兒園
east:842412.0, north:813896.0, Chai Wan Maternal & Child Health Centre, 柴灣母嬰健康院
east:842479.0, north:813975.0, The Richmond Fellowship of Hong Kong New Jade Manufacturing Centre, 利民會新翠實業社
east:842399.7, north:813879.3, Chai Wan Social Security Field Unit, 柴灣社會保障辦事處
east:842434.2, north:813892.8, Wi-Fi.HK Hotspot Locations: Social Welfare Department, Wi-Fi.HK 熱點位置: 社會福利署
east:842393.0, north:813892.8, Wi-Fi.HK Hotspot Locations: Social Welfare Department, Wi-Fi.HK 熱點位置: 社會福利署
east:842413.6, north:813892.8, Wi-Fi.HK Hotspot Locations: Social Welfare Department, Wi-Fi.HK 熱點位置: 社會福利署
east:842494.2, north:813962.8, Wi-Fi.HK Hotspot Locations: Standard Chartered Bank, Wi-Fi.HK 熱點位置: 渣打銀行
east:842410.71439649, north:813902.30454322, Wi-Fi.HK Hotspot Locations: New Jade Manufacturing Center, Wi-Fi.HK 熱點位置: 利民會新翠實業社
east:817416.0, north:831056.0, YAHOO COURT, 瀛海居
east:821135.0, north:807237.0, , 勺瀛樓
east:832289.0, north:838966.0, FUNG YING SEEN KOON, 蓬瀛仙館
east:841216.0, north:818805.0, EGL Tower, 東瀛遊廣場
east:848944.0, north:840008.0, Cheung Wo, 長窩
east:834508.824, north:833688.3, Ma Wo, 馬窩
east:842338.0, north:823816.0, MAN WO, 蠻窩
east:817405.0, north:814373.0, Mui Wo, 梅窩
east:847419.0, north:829244.0, NGONG WO, 昂窩
east:831133.0, north:833904.0, Shui Wo, 水窩
east:825855.0, north:830809.0, Tai Wo, 大窩
east:833999.0, north:836867.0, Tai Wo, 大窩
east:822491.0, north:815915.0, Tai Wo, 大窩
east:835240.0, north:840562.0, Tai Wo, 大窩
east:848124.0, north:817201.0, Tsiu Wo, 蕉窩
east:844000.0, north:823499.0, Wo Mei, 窩美
east:816964.0, north:815079.0, WO TIN, 窩田
east:828351.208, north:824322.361, Fung Shue Wo, 楓樹窩
east:844815.0, north:843018.0, LAI CHI WO, 荔枝窩
east:842095.0, north:821476.0, Lung Wo Tsuen, 龍窩村
east:834933.10767, north:833584.90363, MA WO ROAD, 馬窩路
east:842445.0, north:823403.0, Ngau Pui Wo, 牛背窩
east:843177.0, north:821918.0, Pak Shek Wo, 白石窩
east:846566.0, north:829423.0, Shui Long Wo, 水浪窩
east:830926.0, north:825732.0, Tai Wo Hau, 大窩口
east:835161.0, north:822748.0, Tai Wo Ping, 大窩坪
east:835514.75, north:821391.46875, WOH CHAI STREET, 窩仔街
east:836748.61723, north:822713.62528, WATERLOO ROAD, 窩打老道
east:816994.0, north:814183.0, MUI WO SCHOOL, 梅窩學校
east:828541.31725, north:824389.800829999, FUNG SHUE WO ROAD, 楓樹窩路
east:843772.07251, north:825554.50952, MANG KUNG WO ROAD, 孟公窩路
east:818030.0, north:814777.0, Mui Wo Holiday Inn, 梅窩酒店
east:816812.0, north:814455.0, MUI WO KAU TSUEN, 梅窩舊村
east:838173.0466, north:828904.48679, PAT TSZ WO STREET, 拔子窩街
east:838207.0, north:828880.0, PAT TSZ WO VILLAGE, 拔子窩村
east:818277.0, north:814041.0, Silvermine Bay Ferry Pier, 梅窩碼頭
east:831545.19192, north:825222.447419999, TAI WO HAU ROAD, 大窩口道
east:834889.52375, north:822404.08467, TAI WOH PING ROAD, 大窩坪道
east:830361.67799, north:825300.438300001, WANG WO TSAI STREET, 橫窩仔街
east:830694.0, north:825294.0, TAI WO HAU ESTATE, 大窩口邨
east:818115.0, north:813939.0, Mui Wo Building, 梅窩大廈
east:818112.9, north:814009.6, GREEN‌@MUI WO, 綠在梅窩
east:844909.0, north:843057.0, PCCW Lai Chi Wo Telephone Exchange, 荔枝窩機樓
east:844012.0, north:823552.0, , 窩美村公所
east:818019.0, north:814129.0, , 梅窩魚光村
east:831686.46402, north:823511.065409999, TAI WO INTERCHANGE, 大窩交匯處
east:835108.0, north:833710.0, Ma Wo Road Garden, 馬窩路花園
east:829343.331, north:829017.499, Chuen Lung Cha Tau Wo, 川龍茶頭窩
east:817695.64039, north:814305.04486, MUI WO CHUNG HAU STREET, 梅窩涌口街
east:818091.79678, north:814091.26637, MUI WO FERRY PIER ROAD, 梅窩碼頭路
east:858365.0, north:824980.0, Conic Island, 飯甑洲
east:835526.1, north:819769.6, 名都酒店, 名都酒店
east:823152.0, north:831576.0, , 華興樓
east:842065.0, north:813790.0, HING WAH ESTATE, 興華邨
east:832722.0, north:816085.0, HING WAH MANSION, 興華樓
east:833977.84375, north:822173.09375, HING WAH STREET, 興華街
east:833637.84039, north:816092.350299999, WA HING LANE, 華興里
east:834027.0, north:822190.0, Hing Wah House, 興華樓
east:818293.0, north:810720.0, Staff Canteen, 職員飯堂
east:834735.0, north:843925.0, THE PARKLAND, 興華雅苑
east:838749.0, north:816958.0, Wah Hing Building, 華興大廈
east:842288.0, north:813779.0, HING WAH (1) ESTATE, 興華(一)邨
east:842065.0, north:813790.0, HING WAH (II) ESTATE, 興華(二)邨
east:833529.853350001, north:821633.90514, HING WAH STREET WEST, 興華街西
east:829900.1, north:825739.7, 華納別墅, 華納別墅
east:835523.8, north:819772.8, 港興賓館, 港興賓館
east:834955.0, north:834358.0, Wah Hing Building, 華興樓
east:824673.35260731, north:839723.23831952, 華聯車房, 華聯車房
east:821363.0, north:807690.0, Warwick Hotel, 華威酒店
east:832208.0, north:812640.0, Wah Hing House, 華興樓
east:835494.89378777, north:819541.44320681, 偉華聯誼會, 偉華聯誼會
east:835642.9, north:820089.2, 祥興賓館, 祥興賓館
east:842105.0, north:813842.0, Hing Wah (II) Estate Market, 興華(二)邨街市
east:816803.0, north:806041.0, Shek Kwu Chau Treatment and Rehabilitation Centre Staff Mess, 石鼓洲康復院職員飯堂
east:842065.0, north:813790.0, HING WAH ESTATE (STAGE II), 興華邨(第二期)
east:842217.8, north:813910.4, Hing Wah Community Hall, 興華社區會堂
east:842095.93585884, north:813895.21310068, Hing Wah Neighbourhood Elderly Centre, 興華耆樂中心
east:835523.5, north:819774.3, WHA HING HOSTEL, 華興商旅
east:832669.0, north:816316.0, Hing Wah House, 興華樓
east:830292.0, north:825503.0, Wah Hing House, 華興樓
east:835669.8, north:818872.5, 永興行賓館, 永興行賓館
east:838469.0, north:817016.0, The South China Hotel, 粵華酒店
east:833567.7, north:821599.3, Hing Wah Street West Playground, 興華街西遊樂場
east:834737.0, north:843926.0, , 興華雅苑
east:835514.0, north:818318.0, , 華興大廈
east:825192.9, north:839560.4, WAH HING, 華興車房
east:837024.0, north:818802.0, Hing Wah Building, 興華大廈
east:837170.0, north:820946.0, Wah Hing Building, 華興大廈
east:834384.0, north:821085.0, Wah Hing Building, 華興大樓
east:833989.0, north:815934.0, Wah Hing House, 華興大廈
east:815811.0, north:829191.0, Wah Hing Mansion, 華興大廈
east:835439.0, north:819549.0, Xing Hua Centre, 興華中心
east:842288.0, north:813738.0, Hing Wah (I) Estate, 興華（一）邨
east:842046.0, north:813870.0, HING WAH (II) ESTATE, 興華（二）邨
east:835824.7, north:817607.3, HUA HING GUEST HOUSE, 華興旅館
east:835830.4, north:817604.8, MAN HING LUNG HOSTEL, 萬興隆旅店
east:835671.9, north:818876.3, 泰興翡翠賓館, 泰興翡翠賓館
east:843288.47293293, north:814305.42255528, 興利膠輪電池, 興利膠輪電池
east:835617.33934629, north:819820.82651138, YU WAN GUEST HOUSE, 裕華旅店
east:837335.0, north:835714.0, RCL Semiconductors Ltd., 興華半導體
east:844332.0, north:823758.0, THE MANGROVE, 紅樹海岸
east:837390.0, north:832867.0, The Mangrove H1, 
east:837456.0, north:832865.0, The Mangrove H10, 
east:837400.0, north:832854.0, The Mangrove H11, 
east:837405.0, north:832854.0, The Mangrove H12, 
east:837413.0, north:832853.0, The Mangrove H13, 
east:837419.0, north:832853.0, The Mangrove H14, 
east:837428.0, north:832852.0, The Mangrove H15, 
east:837434.0, north:832852.0, The Mangrove H17, 
east:837442.0, north:832852.0, The Mangrove H17, 
east:837447.0, north:832851.0, The Mangrove H18, 
east:837400.0, north:832867.0, The Mangrove H2, 
east:837406.0, north:832867.0, The Mangrove H3, 
east:837413.0, north:832867.0, The Mangrove H5, 
east:837420.0, north:832866.0, The Mangrove H5A, 
east:837429.0, north:832866.0, The Mangrove H6, 
east:837435.0, north:832865.0, The Mangrove H7, 
east:837443.0, north:832865.0, The Mangrove H8, 
east:837448.0, north:832865.0, The Mangrove H9, 
east:837422.0, north:832860.0, The Mangrove, 紅林居
east:839137.46754, north:817115.906430001, JAVA ROAD, 渣華道
east:846490.0, north:828053.0, LUNA HOUSE, 愛月樓
east:823813.875, north:838684.675419999, NAPA AVENUE, 納柏徑
east:816041.0, north:830226.0, NAPA VALLEY, 名賢居
east:832054.12, north:819738.429, Naval Base, 海軍基地
east:817848.0, north:832803.0, Park Nara, 泉薈
east:836708.0, north:820833.0, Viva Court, 偉華園
east:836393.0, north:821561.0, Viva Villa, 漫春天精品酒店
east:838619.0, north:817015.0, The Java, 
east:838336.0, north:816986.0, Java Mansion, 渣華大樓
east:838854.0, north:821307.0, De Novo Tower H1, 煥然壹居H1座
east:838824.0, north:821322.0, De Novo Tower H2, 煥然壹居H2座
east:838798.0, north:821314.0, De Novo Tower H3, 煥然壹居H3座
east:838824.0, north:821290.0, De Novo Tower L1, 煥然壹居L1座
east:817867.0, north:832798.0, Park Nara Tower 1, 
east:817836.0, north:832803.0, Park Nara Tower 2, 
east:838700.0, north:817029.0, Java Commercial Centre, 渣華商業中心
east:829743.0, north:825477.0, Nina Hotel Tsuen Wan West, 荃灣西如心酒店
east:838589.0, north:817038.0, Java Road Municipal Services Building, 渣華道市政大廈
east:836448.0, north:819747.0, Lock Tao Nursing Home, 樂道健康院
east:844410.0, north:819548.0, Haven of Hope Nursing Home, 基督教靈實協會靈實護養院
east:832617.0, north:816298.0, The Nova, 星鑽
east:815303.0, north:829894.0, CASTLE PEAK HOSPITAL NURSES QUARTER, 青山醫院護士宿舍
east:838638.0, north:817017.0, Java Road 108 Commercial Centre, 渣華道１０８號商業中心
east:831330.4270213, north:824150.91910009, Aura Nursing Home cum Day Care Centre, 耀耆頤養院暨日間中心
east:821826.60130771, north:816462.18720507, Peng Chau Neighbourhood Elderly cum Children/Youth Centre, 坪洲長者暨青少年鄰舍中心
east:836921.0, north:822604.0, Ava Court, 雅華閣
east:837394.93327869, north:819298.91243284, To Kwa Wan Family Store, 土瓜灣家品店
east:844454.0, north:819566.0, Haven of Hope Sister Annie Skau Nursing Home, 靈實司務道護養院
east:840614.0, north:819465.2, NINA HOTEL KOWLOON EAST, 九龍東如心酒店
east:835797.35069, north:835405.42876, CHUNG NGA ROAD, 頌雅路
east:842552.0, north:818479.0, Heng Nga House, 杏雅閣
east:817651.80244, north:832983.141650001, HUNG NGA ROAD, 洪雅路
east:809580.0, north:811040.0, Kau Nga Ling, 狗牙嶺
east:842954.28347, north:817435.291920001, KO NGA LANE, 高雅里
east:831824.0, north:843081.0, Kong Nga Po, 缸瓦甫
east:842573.0, north:818528.0, Lai Nga House, 荔雅閣
east:822450.0, north:819320.0, Main Street USA, 美國小鎮大街
east:836079.0, north:834807.0, MING NGA COURT, 明雅苑
east:812641.0, north:817409.0, Nga Cheong House, 雅昌閣
east:834599.6483, north:818538.61129, NGA CHEUNG ROAD, 雅翔道
east:840678.0, north:820455.0, Nga Ching House, 雅靜閣
east:837980.07356, north:822801.352670001, NGA CHUK STREET, 雅竹街
east:812651.0, north:817505.0, Nga Foon House, 雅歡閣
east:829462.0, north:810093.0, NGA KAU WAN, 牙較灣
east:835212.0, north:835055.0, Nga Kwan House, 雅群閣
